host_response_rate,host_acceptance_rate,host_listings_count,latitude,longitude,city,zipcode,state,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews
65%,,93.00,48.85596,2.33172,Paris,75006,Ile-de-France,2,Entire home/apt,1,1,1,135 ,60,500,30,365,1
100%,,1.00,48.88414,2.33831,Paris,75018,Ile-de-France,3,Entire home/apt,1,1.5,2,79 ,49,400,3,60,81
100%,,1.00,48.85597,2.38757,Paris,75011,Île-de-France,2,Entire home/apt,1,1,1,53 ,,,5,30,37
100%,,2.00,48.85659,2.36502,Paris,75003,Ile-de-France,3,Private room,1,1,2,125 ,0,0,2,10,71
100%,,1.00,48.86015,2.34198,Paris,75001,Île-de-France,5,Entire home/apt,1,1,3,185 ,50,300,3,1125,117
,,2.00,48.85624,2.33838,Paris,75006,Ile-de-France,4,Entire home/apt,1,1,2,155 ,60,300,30,365,18
100%,,1.00,48.87039,2.3611,Paris,75010,Ile-de-France,4,Entire home/apt,2,1,3,150 ,40,150,7,730,11
80%,,2.00,48.84118,2.31775,Paris,75015,Ile-de-France,2,Entire home/apt,0,1,1,105 ,,300,4,730,49
100%,,2.00,48.88495,2.33574,Paris,75018,Île-de-France,4,Entire home/apt,1,1,2,95 ,50,200,1,30,239
,,1.00,48.8302,2.35406,Paris,75013,Île-de-France,2,Entire home/apt,1,1.5,3,95 ,50,,365,365,15
100%,,43.00,48.83638,2.33082,Paris,75014,Ile-de-France,4,Entire home/apt,2,1,3,140 ,140,600,4,365,19
100%,,1.00,48.86428,2.39393,Paris,75020,Île-de-France,2,Entire home/apt,1,1,1,55 ,30,500,7,150,11
90%,,1.00,48.85538,2.38957,Paris,75011,Ile-de-France,2,Entire home/apt,1,1,1,80 ,50,500,2,120,7
80%,,2.00,48.84079,2.31731,Paris,75015,Ile-de-France,2,Entire home/apt,0,1,1,105 ,,300,4,730,69
100%,,1.00,48.85535,2.37214,Paris,75011,Île-de-France,6,Entire home/apt,3,2.5,4,389 ,120,1500,3,600,38
,,1.00,48.89048,2.34504,Paris,75018,Ile-de-France,2,Entire home/apt,1,1,1,119 ,40,400,3,12,18
73%,,1.00,48.86232,2.37465,Paris,75011,Ile-de-France,2,Private room,1,1,1,60 ,20,150,2,7,3
100%,,1.00,48.82671,2.35568,Paris,75013,Île-de-France,1,Entire home/apt,1,1,1,50 ,35,200,31,365,83
,,1.00,48.86396,2.35408,Paris,75003,Ile-de-France,2,Entire home/apt,1,1,1,150 ,65,,4,30,221
,,1.00,48.86764,2.35836,Paris,75003,Ile-de-France,6,Entire home/apt,2,1,4,115 ,50,250,9,45,9
